Name,Type,Category,PIDs,Quantities
Merlan Egg,Lunch,High-Protein,"317;313;262;320","130 g;100 g;80 g;6 ml"
Daurade Olive Bowl,Breakfast,High-Protein,"316;228;259;198","130 g;35 g;80 g;20 g"
Shrimp Egg Herb Scramble,Breakfast,High-Protein,"319;313;202;320","120 g;100 g;6 g;6 ml"
Chicken Egg Breakfast Bowl,Breakfast,High-Protein,"309;313;207;320","120 g;100 g;80 g;7 ml"
Beef and Eggs,Breakfast,High-Protein,"310;313;247;320","110 g;100 g;70 g;7 ml"
Chickpea Chicken Bowl,Lunch,High-Protein,"84;309;262;320","110 g;150 g;90 g;10 ml"
Lentil Beef Bowl,Lunch,High-Protein,"86;310;227;320","110 g;140 g;60 g;10 ml"
Shrimp Rice Coriander Bowl,Lunch,High-Protein,"319;81;202;320","140 g;180 g;8 g;10 ml"
Rice with Beef and Pepper Plate,Lunch,High-Protein,"310;81;247;320","140 g;180 g;80 g;10 ml"
Mutton Chickpea Stew Bowl,Lunch,High-Protein,"311;84;262;320","140 g;110 g;80 g;10 ml"
Chicken Spinach Rice,Lunch,High-Protein,"309;81;207;320","150 g;180 g;100 g;10 ml"
Chicken with Carrot and Pea Bowl,Lunch,High-Protein,"309;191;240;320","150 g;90 g;90 g;10 ml"
Sardine Chickpea Tomato Bowl,Lunch,High-Protein,"314;84;262;320","130 g;110 g;90 g;10 ml"
Tuna Chickpea Mint Salad,Lunch,High-Protein,"112;84;223;320","120 g;110 g;6 g;10 ml"
Shrimp Green Bean Rice,Lunch,High-Protein,"319;214;81;320","140 g;100 g;170 g;10 ml"
Chicken Harissa Rice Bowl,Lunch,High-Protein,"309;81;129;320","150 g;180 g;5 g;10 ml"
Chorba Vermicelle Beef,Dinner,High-Protein,"17;310;227;191;262;320","90 g;140 g;60 g;80 g;80 g;10 ml"
Chorba Lentil Lamb,Dinner,High-Protein,"86;312;227;191;320","110 g;140 g;60 g;90 g;10 ml"
Tlitli Chicken,Dinner,High-Protein,"51;309;191;320","120 g;150 g;90 g;10 ml"
Tlitli Beef,Dinner,High-Protein,"51;310;227;320","120 g;140 g;60 g;10 ml"
Beef Loubia Stew,Dinner,High-Protein,"310;79;227;262;320","140 g;110 g;60 g;80 g;10 ml"
Lamb Chickpea Stew,Dinner,High-Protein,"312;84;227;262;320","140 g;110 g;60 g;80 g;10 ml"
Beef with Chickpea,Dinner,High-Protein,"310;84;262;320","140 g;110 g;90 g;10 ml"
Shrimp Chickpea Harissa,Dinner,High-Protein,"319;84;129;320","150 g;100 g;4 g;10 ml"
Rice with Chicken and Green Bean,Dinner,High-Protein,"309;214;81;320","150 g;100 g;170 g;10 ml"
Tuna Pasta,Dinner,High-Protein,"1;110;108;162","200 g;120 g;100 g;10 ml"
Roasted Chicken,Dinner,High-Protein,"239;320;164;179;309","50 g;30 ml;12 ml;3 g;600 g"
Kefta,Lunch,High-Protein,"310;179;239;262","454 g;12 g;75 g;186 g"
Merguez Sausage Patties,Lunch,High-Protein,"179;138;108;311;320","9 g;30 g;15 g;450 g;15 ml"
Baked Ziti,Dinner,High-Protein,"24;238;311;70","450 g;140 g;450 g;170 g"
Lamb and Apricot meatballs,Lunch,High-Protein,"320;238;179;108;311","30 ml;420 g;12 g;400 g;500 g"
Chicken with Saffron,Dinner,High-Protein,"309;320;179;257;284","1250 g;30 ml;9 g;50 g;25 g"
Baked Fish,Lunch,High-Protein,"314;249;262;248;320","600 g;400 g;200 g;100 g;60 ml"
Grilled Sardines,Dinner,High-Protein,"314;320;179;241","150 g;30 ml;9 g;7 g"
Taco Spaghetti,Lunch,High-Protein,"320;310;238;108;262;12","15 ml;450 g;75 g;15 g;280 g;230 g"
Chicken Curry Fries,Lunch,High-Protein,"209;163;238;179;262;322;249","230 g;45 ml;150 g;6 g;200 g;120 g;300 g"
